Date,Labor Force,Labor Force Participation Rate,Employed,EmploymentParticipation Rate,Unemployed,Unemployment Rate,IL Rate,Year
21-Jun,"3,627,200",63.4,"3,328,200",58.2,"299,000",8.2,7.2,2021
21-May,"3,610,800",63.1,"3,318,000",58,"292,800",8.1,7.1,2021
21-Apr,"3,592,900",62.8,"3,302,400",57.7,"290,400",8.1,7.1,2021
21-Mar,"3,577,500",62.5,"3,284,100",57.4,"293,400",8.2,7.1,2021
21-Feb,"3,578,300",62.5,"3,267,800",57.1,"310,500",8.7,7.4,2021
21-Jan,"3,572,500",62.4,"3,254,900",56.8,"317,600",8.9,7.7,2021
20-Dec,"3,574,700",62.4,"3,244,200",56.6,"330,500",9.2,8,2021
20-Nov,"3,576,000",62.4,"3,245,500",56.6,"330,500",9.2,8.1,2021
20-Oct,"3,578,400",62.4,"3,247,100",56.6,"331,200",9.3,8.1,2021
20-Sep,"3,701,100",64.5,"3,245,500",56.6,"455,600",12.3,10.4,2021
20-Aug,"3,560,600",62,"3,103,300",54.1,"457,300",12.8,11.1,2021
20-Jul,"3,553,800",61.9,"3,095,100",53.9,"458,800",12.9,12,2021
20-Jun,"3,701,400",64.5,"3,120,500",54.3,"580,900",15.7,14.2,2021
20-May,"3,606,100",62.8,"3,027,700",52.7,"578,400",16,15.4,2021
20-Apr,"3,500,000",60.9,"2,926,000",50.9,"574,000",16.4,16.5,2021
20-Mar,"3,686,700",64.1,"3,551,400",61.8,"135,300",3.7,3.7,2021
20-Feb,"3,688,600",64.1,"3,557,900",61.8,"130,700",3.5,3.6,2021
20-Jan,"3,692,500",64.2,"3,565,200",61.9,"127,300",3.4,3.5,2021
19-Dec,"3,697,600",64.2,"3,571,800",62,"125,800",3.4,3.5,2021
19-Nov,"3,703,400",64.3,"3,576,700",62.1,"126,700",3.4,3.5,2021
19-Oct,"3,709,000",64.4,"3,579,400",62.2,"129,600",3.5,3.6,2021
19-Sep,"3,713,900",64.5,"3,580,700",62.2,"133,200",3.6,3.7,2021
19-Aug,"3,718,800",64.6,"3,582,100",62.2,"136,800",3.7,3.8,2021
19-Jul,"3,723,600",64.6,"3,583,700",62.2,"139,900",3.8,3.9,2021
